Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
ridA	BW25113_RS22035	4460344	4460730	enamine/imine deaminase, redox-regulated chaperone
ygfZ	BW25113_RS15070	3034672	3035652	folate-binding protein YgfZ
intE	BW25113_RS05930	1195135	1196262	e14 prophage; putative integrase
fecA	BW25113_RS22280	4504170	4506494	ferric citrate outer membrane transporter
bipA	BW25113_RS20090	4051767	4053590	50S ribosomal subunit assembly factor BipA
cusF	BW25113_RS02970	592587	592919	copper/silver export system periplasmic binding protein
nagB	BW25113_RS03495	698267	699067	glucosamine-6-phosphate deaminase
patA	BW25113_RS15960	3212853	3214232	putrescine aminotransferase
RS25430	BW25113_RS25430	262264	262491	hypothetical protein
RS03565	BW25113_RS03565	711403	712053	DUF2625 domain-containing protein
dfp	BW25113_RS18895	3806091	3807311	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase
malX	BW25113_RS08480	1693612	1695204	PTS enzyme IIBC component MalX
lolC	BW25113_RS05805	1170883	1172082	lipoprotein release complex - inner membrane subunit
yjeM	BW25113_RS21600	4373656	4375158	glutamate/gamma-aminobutyrate family transporter YjeM
yraK	BW25113_RS16305	3284700	3285791	putative fimbrial adhesin YraK
ibaG	BW25113_RS16535	3329908	3330162	acid stress protein IbaG
rsmA	BW25113_RS00265	51609	52430	16S rRNA (A<sup>1518</sup>/A<sup>1519</sup>-<em>N</em><sup>6</sup>-dimethyltransferase
abrB	BW25113_RS03700	742179	743225	putative regulator
yoaF	BW25113_RS09380	1871535	1871789	DUF333 domain-containing lipoprotein YoaF
cspE	BW25113_RS03240	652748	652957	transcription antiterminator and regulator of RNA stability CspE
fucI	BW25113_RS14575	2928943	2930718	L-fucose isomerase
rnr	BW25113_RS21715	4396471	4398912	RNase R
RS20630	BW25113_RS20630	4165316	4165391	tRNA-Thr
ascG	BW25113_RS14125	2831613	2832623	DNA-binding transcriptional repressor AscG
ynjH	BW25113_RS09205	1836120	1836392	DUF1496 domain-containing protein YnjH
RS15410	BW25113_RS15410	3103725	3103800	tRNA-Phe
lpoA	BW25113_RS16315	3286759	3288795	outer membrane lipoprotein - activator of MrcA activity
yoaG	BW25113_RS09400	1873660	1873842	DUF1869 domain-containing protein YoaG
ygjQ	BW25113_RS16030	3229899	3230591	DUF218 domain-containing protein YgjQ
nrdR	BW25113_RS02140	428458	428907	NrdR transcriptional repressor
rcbA	BW25113_RS07075	1407788	1407997	Rac prophage; double-strand break reduction protein
RS02750	BW25113_RS02750	560179	560255	tRNA-Arg
hslJ	BW25113_RS07240	1435578	1436000	lipoprotein implicated in Novobiocin resistance
essQ	BW25113_RS08160	1634627	1634842	Qin prophage; putative prophage lysis protein EssQ
dnaC	BW25113_RS22705	4590055	4590792	DNA replication protein DnaC
motB	BW25113_RS09900	1969586	1970512	motility protein B
carB	BW25113_RS00170	30817	34038	carbamoyl-phosphate synthetase large subunit
fhuE	BW25113_RS05735	1154818	1157007	ferric coprogen/ferric rhodotorulic acid outer membrane transporter
ybgP	BW25113_RS03710	744435	745163	putative fimbrial chaperone YbgP
pck	BW25113_RS17635	3526177	3527799	phosphoenolpyruvate carboxykinase (ATP)
rof	BW25113_RS00945	210165	210425	modulator of Rho-dependent transcription termination
cyaY	BW25113_RS19770	3987099	3987419	frataxin CyaY
hofB	BW25113_RS00530	112201	113586	T2SSE family protein
deoR	BW25113_RS04360	877432	878190	DNA-binding transcriptional repressor DeoR
yjhQ	BW25113_RS22380	4523056	4523601	KpLE2 phage-like element; putative acetyltransferase TopAI antitoxin YjhQ
yjbB	BW25113_RS20855	4217659	4219290	putative inorganic phosphate export protein YjbB
rfaD	BW25113_RS18795	3787347	3788279	ADP-L-glycero-D-mannoheptose 6-epimerase
tldD	BW25113_RS16815	3383942	3385387	metalloprotease subunit TldD
atpB	BW25113_RS19430	3914596	3915411	ATP synthase F<sub>o</sub> complex subunit a
yqjG	BW25113_RS16110	3244383	3245369	glutathionyl-hydroquinone reductase YqjG
tatC	BW25113_RS19925	4016096	4016872	twin arginine protein translocation system - TatC protein
ubiJ	BW25113_RS19905	4012984	4013589	ubiquinone biosynthesis accessory factor UbiJ
hybC	BW25113_RS15550	3134645	3136348	hydrogenase 2 large subunit
eutR	BW25113_RS12710	2547489	2548541	putative DNA-binding transcriptional regulator EutR
yfaE	BW25113_RS11680	2341993	2342247	ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE
degQ	BW25113_RS16765	3374102	3375469	periplasmic serine endoprotease
yajG	BW25113_RS02245	449045	449623	lipoprotein
RS15805	BW25113_RS15805	3179546	3180774	IS3-like element IS2 family transposase
yccU	BW25113_RS05010	1023402	1023815	putative HspQ acetyl donor
ychH	BW25113_RS06275	1254247	1254525	stress-induced protein
yfcJ	BW25113_RS12125	2432421	2433599	MFS transporter
selO	BW25113_RS08930	1784065	1785501	protein adenylyltransferase SelO
mreB	BW25113_RS16845	3393403	3394446	dynamic cytoskeletal protein MreB
rlhA	BW25113_RS07535	1501038	1502999	23S rRNA 5-hydroxycytidine C2501 synthase
hflK	BW25113_RS21690	4391855	4393114	regulator of FtsH protease
dcuA	BW25113_RS21500	4355289	4356590	C4-dicarboxylate transporter DcuA
metF	BW25113_RS20450	4122544	4123434	5,10-methylenetetrahydrofolate reductase
yjcS	BW25113_RS21210	4294429	4296414	linear primary-alkylsulfatase
tesB	BW25113_RS02340	469757	470617	acyl-CoA thioesterase II
ymfJ	BW25113_RS05940	1197232	1197540	e14 prophage; uncharacterized protein YmfJ
nfuA	BW25113_RS17690	3538983	3539558	iron-sulfur cluster carrier protein NfuA
RS24210	BW25113_RS24210	2776424	2776642	recombinase family protein
hisP	BW25113_RS12045	2417215	2417988	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit
ydeQ	BW25113_RS07875	1581077	1581991	putative fimbrial adhesin protein YdeQ
yqjC	BW25113_RS16085	3242328	3242696	DUF1090 domain-containing protein YqjC
phoA	BW25113_RS01985	397203	398618	alkaline phosphatase
RS10900	BW25113_RS10900	2163717	2164879	IS3-like element IS3 family transposase
RS25685	BW25113_RS25685	2463976	2464257	hypothetical protein
ynfC	BW25113_RS08295	1651004	1651714	PF06788 family lipoprotein YnfC
nikA	BW25113_RS17995	3607027	3608601	nickel ABC transporter periplasmic binding protein
yidJ	BW25113_RS19120	3850271	3851764	putative sulfatase/phosphatase YidJ
ydiP	BW25113_RS08870	1772647	1773558	DNA-binding transcriptional regulator YdiP
yhhW	BW25113_RS17805	3572310	3573005	quercetin 2,3-dioxygenase
ybdR	BW25113_RS03165	637544	638782	putative Zn<sup>2+</sup>-dependent alcohol dehydrogenase YbdR
yhaK	BW25113_RS16130	3247678	3248379	bicupin-related protein
uof	BW25113_RS03525	706095	706181	RyhB-regulated <i>fur</i> leader peptide
aceF	BW25113_RS00575	122182	124074	pyruvate dehydrogenase E2 subunit
ivbL	BW25113_RS19075	3846250	3846348	<i>ilvBN</i> operon leader peptide
xanQ	BW25113_RS14985	3017710	3019110	xanthine:H+ symporter XanQ
RS06140	BW25113_RS06140	1223170	1223463	YcgL domain-containing protein
gatZ	BW25113_RS10930	2168538	2169800	putative tagatose-1,6-bisphosphate aldolase 2 chaperone
cynR	BW25113_RS01735	353502	354401	DNA-binding transcriptional dual regulator CynR
csgF	BW25113_RS05400	1097167	1097583	curli assembly component CsgF
waaZ	BW25113_RS18820	3792705	3793556	lipopolysaccharide core biosynthesis protein WaaZ
tsaE	BW25113_RS21660	4385402	4385863	N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaE subunit
glcG	BW25113_RS15460	3117186	3117590	putative heme-binding protein GlcG
yhhT	BW25113_RS17985	3605225	3606274	AI-2E family transporter
nanQ	BW25113_RS16700	3362373	3362837	<i>N</i>-acetylneuraminate anomerase
barA	BW25113_RS14490	2908416	2911172	sensor histidine kinase BarA
dgcE	BW25113_RS10790	2136747	2140064	diguanylate cyclase DgcE
RS01015	BW25113_RS01015	221868	221944	tRNA-Ile
ytcA	BW25113_RS21205	4293945	4294220	putative lipoprotein YtcA
RS06105	BW25113_RS06105	1219020	1219363	autotransporter outer membrane beta-barrel domain-containing protein
RS23270	BW25113_RS23270	286140	286343	DUF3987 domain-containing protein
yfgM	BW25113_RS13110	2632022	2632642	ancillary SecYEG translocon subunit
prfB	BW25113_RS15035	3028543	3029641	peptide chain release factor RF2
ubiI	BW25113_RS15110	3044474	3045676	2-octaprenylphenol 6-hydroxylase
ybjM	BW25113_RS04400	885545	885922	putative inner membrane protein
mutS	BW25113_RS14225	2850452	2853013	DNA mismatch repair protein MutS
kdgT	BW25113_RS20290	4091618	4092601	2-dehydro-3-deoxy-D-gluconate:H<sup>+</sup> symporter
tktA	BW25113_RS15245	3073003	3074994	transketolase 1
ydeT	BW25113_RS07890	1583110	1584336	fimbrial biogenesis outer membrane usher protein
rng	BW25113_RS16825	3389685	3391154	RNase G
RS16680	BW25113_RS16680	3359061	3360077	IS5-like element IS5 family transposase
yccA	BW25113_RS05035	1026215	1026874	modulator of FtsH protease
cvpA	BW25113_RS12080	2423754	2424242	colicin V production protein
gltJ	BW25113_RS03395	681385	682125	glutamate/aspartate ABC transporter membrane subunit GltJ
yjhU	BW25113_RS22310	4509155	4510141	KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhU
mhpA	BW25113_RS01785	362844	364508	3-(3-hydroxyphenyl)propanoate hydroxylase
ispD	BW25113_RS14295	2865139	2865849	2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase
ilvA	BW25113_RS19590	3948691	3950235	threonine deaminase
yggE	BW25113_RS15185	3060699	3061439	DUF541 domain-containing protein YggE
ybaA	BW25113_RS02355	472128	472481	DUF1428 domain-containing protein YbaA
artM	BW25113_RS04470	896322	896990	L-arginine ABC transporter membrane subunit ArtM
rpmH	BW25113_RS19250	3877696	3877836	50S ribosomal protein L34
yhgN	BW25113_RS17785	3568431	3569024	MarC family putative inner membrane protein YhgN
ydaE	BW25113_RS07100	1412095	1412265	Rac prophage; zinc-binding protein
RS16670	BW25113_RS16670	3358544	3358912	YhcE family protein
pmrR	BW25113_RS21350	4321933	4322022	small regulatory membrane protein PmrR
ytjC	BW25113_RS22895	4623614	4624261	putative phosphatase
rdcB	BW25113_RS21340	4319177	4320055	regulator of diguanylate cyclase RdcB
fixC	BW25113_RS00225	44180	45466	putative oxidoreductase FixC
potH	BW25113_RS04445	891590	892543	putrescine ABC transporter membrane subunit PotH
nuoA	BW25113_RS11950	2398108	2398551	NADH:quinone oxidoreductase subunit A
fecD	BW25113_RS22265	4501275	4502231	ferric citrate ABC transporter membrane subunit FecD
emrB	BW25113_RS13975	2805975	2807513	multidrug efflux pump membrane subunit EmrB
ycgR	BW25113_RS06215	1239249	1239983	flagellar brake protein YcgR
coaE	BW25113_RS00515	109086	109706	dephospho-CoA kinase
raiA	BW25113_RS13565	2730513	2730854	ribosome-associated inhibitor A
ygeG	BW25113_RS14830	2984627	2985118	TPR repeat-containing putative chaperone YgeG
ribF	BW25113_RS00120	21407	22348	bifunctional riboflavin kinase / FMN adenylyltransferase
yccS	BW25113_RS04980	1017186	1019348	putative transporter YccS
yejL	BW25113_RS11415	2277608	2277835	DUF1414 domain-containing protein YejL
mdtK	BW25113_RS08705	1737714	1739087	multidrug efflux pump MdtK
otsB	BW25113_RS09930	1975068	1975868	trehalose-6-phosphate phosphatase
dacC	BW25113_RS04355	876183	877385	D-alanyl-D-alanine carboxypeptidase DacC
yaiZ	BW25113_RS25465	395049	395261	DUF2754 domain-containing protein YaiZ
moaD	BW25113_RS04075	814504	814749	molybdopterin synthase sulfur carrier subunit
ybiV	BW25113_RS04270	854669	855484	sugar phosphatase YbiV
dkgB	BW25113_RS01040	225654	226457	methylglyoxal reductase DkgB
yjdC	BW25113_RS21485	4352550	4353125	DNA-binding transcriptional regulator DicD
lafU	BW25113_RS01165	246529	247314	putative lateral flagellar export/assembly protein LafU
purA	BW25113_RS21705	4394504	4395802	adenylosuccinate synthetase
cspI	BW25113_RS08140	1632712	1632924	Qin prophage; cold shock-like protein CspI
adhE	BW25113_RS06470	1290902	1293577	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE
gspL	BW25113_RS15420	3104487	3105452	type II secretion system protein GspL
osmE	BW25113_RS09095	1816175	1816513	osmotically-inducible lipoprotein OsmE
waaP	BW25113_RS18850	3798513	3799310	lipopolysaccharide core heptose (I) kinase
hrpB	BW25113_RS00740	158592	161021	RNA-dependent NTPase HrpB
cycA	BW25113_RS21865	4419681	4421093	D-serine/alanine/glycine:H<sup>+</sup>symporter
ydfR	BW25113_RS08155	1634311	1634622	Qin prophage; protein YdfR
ptsH	BW25113_RS12600	2527123	2527380	phosphocarrier protein HPr
lsrD	BW25113_RS07940	1598304	1599296	Autoinducer-2 ABC transporter membrane subunit LsrD
nlpC	BW25113_RS08940	1786524	1786988	NlpC/P60 family lipoprotein NlpC
yadC	BW25113_RS00675	146202	147440	fimbrial tip-adhesin YadC
tdcC	BW25113_RS16170	3257045	3258376	threonine/serine:H<sup>+</sup> symporter TdcC
yajD	BW25113_RS02120	426061	426408	HNH nuclease family protein YajD
slyA	BW25113_RS08595	1714647	1715081	DNA-binding transcriptional dual regulator SlyA
cdh	BW25113_RS20330	4099858	4100613	CDP-diacylglycerol diphosphatase
tsx	BW25113_RS02130	426585	427469	nucleoside-specific channel-forming protein Tsx
yohC	BW25113_RS11140	2218523	2219110	putative inner membrane protein
modE	BW25113_RS03955	789312	790100	DNA-binding transcriptional dual regulator ModE
malP	BW25113_RS17705	3543439	3545832	maltodextrin phosphorylase
aldA	BW25113_RS07420	1482489	1483928	aldehyde dehydrogenase A
emrY	BW25113_RS12350	2474117	2475655	tripartite efflux pump membrane subunit EmrY
ybaL	BW25113_RS02470	497018	498694	putative transporter YbaL
kdpF	BW25113_RS03615	724188	724277	K<sup>+</sup> transporting P-type ATPase subunit KdpF
yehC	BW25113_RS11005	2184405	2185079	putative fimbrial chaperone YehC
kbl	BW25113_RS18785	3784715	3785911	2-amino-3-ketobutyrate CoA ligase
yibF	BW25113_RS18650	3754707	3755315	glutathione transferase-like protein YibF
xseB	BW25113_RS02185	436557	436799	exodeoxyribonuclease VII subunit XseB
rplU	BW25113_RS16515	3326499	3326810	50S ribosomal protein L21
hofM	BW25113_RS17590	3515331	3516110	DNA utilization protein HofM
aceK	BW25113_RS20835	4208524	4210260	isocitrate dehydrogenase kinase/phosphatase
yidZ	BW25113_RS19295	3886125	3887084	DNA-binding transcriptional dual regulator YidZ
yhaL	BW25113_RS16135	3248402	3248566	uncharacterized protein YhaL
yjjA	BW25113_RS22700	4589512	4590006	DUF2501 domain-containing protein YjjA
artP	BW25113_RS04485	898462	899190	L-arginine ABC transporter ATP binding subunit
ydbD	BW25113_RS07380	1469401	1471707	DUF2773 domain-containing protein YdbD
RS10120	BW25113_RS10120	2005030	2005832	leucine-rich repeat domain-containing protein
RS22615	BW25113_RS22615	4563736	4566672	hypothetical protein
yqeA	BW25113_RS14945	3004820	3005752	putative amino acid kinase YqeA
dgoD	BW25113_RS19190	3865210	3866358	D-galactonate dehydratase
yibV	BW25113_RS18675	3762705	3763040	PF15596 family protein YibV
wecF	BW25113_RS19695	3970885	3971964	TDP-<i>N</i>-acetylfucosamine:lipid II <i>N</i>-acetylfucosaminyltransferase
bioC	BW25113_RS04035	806978	807733	malonyl-acyl carrier protein methyltransferase
rnhB	BW25113_RS00915	200980	201576	RNase HII
ttdT	BW25113_RS15910	3201383	3202846	L-tartrate:succinate antiporter
yfiL	BW25113_RS13585	2734719	2735084	DUF2799 domain-containing lipoprotein YfiL
trxC	BW25113_RS13485	2712094	2712513	reduced thioredoxin 2
RS00100	BW25113_RS00100	19811	20508	IS1-like element IS1A family transposase
RS05980	BW25113_RS05980	1201587	1202378	baseplate J/gp47 family protein
slyD	BW25113_RS17355	3471266	3471856	FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase SlyD
ydbH	BW25113_RS07250	1437308	1439947	putative phospholipid transport factor YdbH
fre	BW25113_RS19945	4019887	4020588	NAD(P)H-flavin reductase
spy	BW25113_RS09120	1819397	1819882	ATP-independent periplasmic chaperone
mipA	BW25113_RS09325	1859983	1860729	MltA-interacting protein
rpsK	BW25113_RS17095	3435068	3435457	30S ribosomal protein S11
ydhV	BW25113_RS08755	1745985	1748087	putative oxidoreductase YdhV
feoA	BW25113_RS17660	3533522	3533749	ferrous iron transport protein A
rnb	BW25113_RS06735	1341235	1343169	RNase II
ybgE	BW25113_RS03815	769765	770058	PF09600 family protein YbgE
yidK	BW25113_RS19125	3851761	3853476	solute:sodium symporter family transporter
thpR	BW25113_RS00735	157988	158518	RNA 2',3'-cyclic phosphodiesterase
ghoS	BW25113_RS21445	4342401	4342697	antitoxin of the GhoTS toxin-antitoxin system
udk	BW25113_RS10785	2135788	2136429	uridine/cytidine kinase
rpsS	BW25113_RS17190	3443607	3443885	30S ribosomal protein S19
flgE	BW25113_RS05605	1128030	1129238	flagellar hook protein FlgE
yjjQ	BW25113_RS22725	4593294	4594019	DNA-binding transcriptional repressor YjjQ
adk	BW25113_RS02450	492631	493275	adenylate kinase
lldD	BW25113_RS18725	3773187	3774377	L-lactate dehydrogenase
appY	BW25113_RS02920	579137	579886	DLP12 prophage; DNA-binding transcriptional activator AppY
uspB	BW25113_RS18095	3632745	3633080	universal stress protein B
yjhI	BW25113_RS22335	4514832	4515620	KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhI
slt	BW25113_RS22880	4620550	4622487	soluble lytic murein transglycosylase
yabQ	BW25113_RS25860	59121	59279	protein YabQ
bcsG	BW25113_RS18340	3691574	3693253	cellulose phosphoethanolamine transferase
lplT	BW25113_RS14750	2966028	2967221	lysophospholipid transporter
adiY	BW25113_RS21375	4326985	4327746	DNA-binding transcriptional activator AdiY
yfcS	BW25113_RS12195	2445063	2445815	putative fimbrial chaperone YfcS
phnK	BW25113_RS21280	4307823	4308581	ATP-binding cassette protein PhnK
ybaP	BW25113_RS02490	502742	503536	TraB family protein YbaP
yjfK	BW25113_RS21735	4401119	4401778	DUF2491 domain-containing protein YjfK
ydcR	BW25113_RS07555	1504260	1505666	fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR
mnmC	BW25113_RS12135	2435243	2437249	fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase
pinQ	BW25113_RS08100	1627879	1628469	Qin prophage; putative recombinase PinQ
cysU	BW25113_RS12645	2535038	2535871	sulfate/thiosulfate ABC transporter inner membrane subunit CysU
mrp	BW25113_RS11025	2186538	2187647	P-loop NTPase family protein Mrp
yhfS	BW25113_RS17495	3498294	3499379	putative aminotransferase YhfS
argP	BW25113_RS15155	3053112	3054005	DNA-binding transcriptional dual regulator ArgP
nikD	BW25113_RS18010	3610375	3611139	nickel ABC transporter ATP binding subunit NikD
rhtC	BW25113_RS19850	4001117	4001737	L-threonine exporter
pdxH	BW25113_RS08575	1711608	1712264	pyridoxine/pyridoxamine 5'-phosphate oxidase
xylR	BW25113_RS18525	3728339	3729517	DNA-binding transcriptional dual regulator XylR
garL	BW25113_RS16210	3266146	3266916	&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase
ddpC	BW25113_RS07785	1553271	1554167	putative D,D-dipeptide ABC transporter membrane subunit DdpC
chbA	BW25113_RS09080	1813712	1814062	<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIA component
tusB	BW25113_RS17325	3468037	3468324	sulfurtransferase complex subunit TusB
yjeO	BW25113_RS21610	4375521	4375835	DUF2645 domain-containing inner membrane protein YjeO
mak	BW25113_RS02045	405600	406508	fructokinase
rarD	BW25113_RS19830	3996648	3997538	putative transporter RarD
yjbG	BW25113_RS20895	4226825	4227562	capsule biosynthesis GfcC family protein YjbG
yeaD	BW25113_RS09315	1858107	1858991	putative aldose 1-epimerase YeaD
rbsD	BW25113_RS19480	3926711	3927130	D-ribose pyranase
RS25970	BW25113_RS25970	524413	524586	hypothetical protein
umpH	BW25113_RS03480	695030	695782	UMP phosphatase
erpA	BW25113_RS00785	173097	173441	iron-sulfur cluster insertion protein ErpA
icd	BW25113_RS05910	1190579	1191829	isocitrate dehydrogenase
thiH	BW25113_RS20700	4180663	4181796	2-iminoacetate synthase
dgcZ	BW25113_RS08050	1617217	1618107	diguanylate cyclase DgcZ
lolA	BW25113_RS04625	932828	933439	outer membrane lipoprotein carrier protein
rplO	BW25113_RS17115	3437464	3437898	50S ribosomal protein L15
ypfH	BW25113_RS12900	2586431	2587129	esterase YpfH
ymjE	BW25113_RS25565	1353434	1353598	protein YmjE
yfdE	BW25113_RS12370	2481502	2482647	acetyl-CoA:oxalate CoA-transferase
garP	BW25113_RS16215	3266932	3268266	galactarate/D-glucarate transporter GarP
ftsA	BW25113_RS00470	100469	101731	cell division protein FtsA
ydaV	BW25113_RS07135	1416240	1416986	Rac prophage; putative ATP-binding protein YdaV
caiT	BW25113_RS00210	40417	41931	L-carnitine:&gamma;-butyrobetaine antiporter
pgaA	BW25113_RS05335	1085322	1087745	partially deacetylated poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine export outer membrane porin
uxuA	BW25113_RS22490	4541453	4542637	D-mannonate dehydratase
yeiG	BW25113_RS11245	2237389	2238225	<i>S</i>-formylglutathione hydrolase / <i>S</i>-lactoylglutathione hydrolase
cdd	BW25113_RS11180	2225323	2226207	cytidine/deoxycytidine deaminase
yneE	BW25113_RS07965	1602365	1603279	PF01062 family inner membrane protein YneE
ymgA	BW25113_RS06050	1211524	1211796	putative two-component system connector protein YmgA
lsrK	BW25113_RS07920	1592874	1594466	autoinducer-2 kinase
prpD	BW25113_RS01715	346926	348377	2-methylcitrate dehydratase
rlmD	BW25113_RS14485	2907058	2908359	23S rRNA m<sup>5</sup>U1939 methyltransferase
xynR	BW25113_RS01395	284115	284873	CP4-6 prophage; DNA-binding transcriptional repressor XynR
setA	BW25113_RS00350	74108	75286	sugar exporter SetA
mdtF	BW25113_RS18215	3653774	3656887	multidrug efflux pump RND permease MdtF
pepT	BW25113_RS05865	1181300	1182526	peptidase T
mpaA	BW25113_RS06945	1384127	1384855	murein tripeptide amidase A
tomB	BW25113_RS02380	475790	476164	Hha toxicity modulator TomB
yodC	BW25113_RS10225	2021669	2021851	protein YodC
yicR	BW25113_RS18890	3805251	3805919	RadC-like JAB domain-containing protein YicR
fadL	BW25113_RS12230	2454785	2456125	long-chain fatty acid outer membrane channel / bacteriophage T2 receptor
ftsY	BW25113_RS17935	3596110	3597603	signal recognition particle receptor
tesA	BW25113_RS02550	514595	515218	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1
rpoN	BW25113_RS16595	3338076	3339509	RNA polymerase sigma factor RpoN
RS25980	BW25113_RS25980	577116	577553	tail fiber assembly protein
RS18395	BW25113_RS18395	3701976	3702052	tRNA-Pro
ompG	BW25113_RS06910	1376204	1377109	outer membrane porin G
yafL	BW25113_RS01150	243199	243948	NlpC/P60 family protein YafL
yhgH	BW25113_RS17685	3538241	3538924	DNA utilization protein YhgH
ispA	BW25113_RS02180	435658	436557	geranyl diphosphate/farnesyl diphosphate synthase
ykfI	BW25113_RS01240	259039	259380	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system
relE	BW25113_RS08200	1639603	1639890	Qin prophage; mRNA interferase toxin RelE
yecA	BW25113_RS09985	1984435	1985100	uncharacterized iron-binding protein YecA
ansB	BW25113_RS15355	3093041	3094087	L-asparaginase 2
insH1	BW25113_RS01325	269812	270828	CP4-6 prophage; IS<i>5</i> transposase and trans-activator
espL1	BW25113_RS09000	1797351	1799250	type III secretion system effector EspL1
clpX	BW25113_RS02270	452882	454156	ATP-dependent Clp protease ATP-binding subunit ClpX
RS21480	BW25113_RS21480	4352368	4352443	tRNA-Phe
rcsA	BW25113_RS10200	2017449	2018072	DNA-binding transcriptional activator RcsA
ydfD	BW25113_RS08250	1644051	1644242	Qin prophage; lysis protein
dps	BW25113_RS04220	843864	844367	DNA protection during starvation protein
ydeO	BW25113_RS07860	1577183	1577944	DNA-binding transcriptional dual regulator YdeO
ftsI	BW25113_RS00420	87900	89666	peptidoglycan DD-transpeptidase FtsI
zapA	BW25113_RS15130	3048971	3049300	cell division protein ZapA
yhbO	BW25113_RS16345	3292333	3292851	protein/nucleic acid deglycase 2
ygdR	BW25113_RS14740	2964630	2964848	DUF903 domain-containing lipoprotein YgdR
uvrB	BW25113_RS04045	808982	811003	UvrABC excision nuclease subunit B
gltK	BW25113_RS03390	680711	681385	glutamate/aspartate ABC transporter membrane subunit GltK
rpsH	BW25113_RS17140	3439512	3439904	30S ribosomal protein S8
RS08215	BW25113_RS08215	1641615	1641893	hypothetical protein
acrA	BW25113_RS02390	479882	481075	multidrug efflux pump membrane fusion lipoprotein AcrA
panB	BW25113_RS00670	145294	146088	3-methyl-2-oxobutanoate hydroxymethyltransferase
pepD	BW25113_RS01200	250746	252203	peptidase D
pbpC	BW25113_RS13140	2638372	2640684	peptidoglycan glycosyltransferase PbpC
hyfD	BW25113_RS12960	2598170	2599609	hydrogenase 4 component D
hspQ	BW25113_RS05015	1023860	1024177	heat shock protein HspQ
mcrC	BW25113_RS22620	4566729	4567775	Type IV methyl-directed restriction enzyme EcoKMcrBC subunit
nuoL	BW25113_RS11900	2386684	2388525	NADH:quinone oxidoreductase subunit L
agaD	BW25113_RS16280	3278837	3279628	galactosamine-specific PTS enzyme IID component
ydjM	BW25113_RS09040	1804468	1805058	inner membrane protein YdjM
ulaG	BW25113_RS21780	4408378	4409442	L-ascorbate-6-phosphate lactonase
yfcH	BW25113_RS12035	2415187	2416080	epimerase family protein YfcH
galT	BW25113_RS03935	785439	786485	galactose-1-phosphate uridylyltransferase
rimP	BW25113_RS16435	3310913	3311365	ribosome maturation factor RimP
wzxC	BW25113_RS10685	2112161	2113639	colanic acid repeat unit flippase
ydjE	BW25113_RS09260	1846878	1848236	MFS transporter
glpA	BW25113_RS11705	2346126	2347754	anaerobic glycerol-3-phosphate dehydrogenase subunit A
sdhB	BW25113_RS03750	753145	753861	succinate:quinone oxidoreductase, iron-sulfur cluster binding protein
malT	BW25113_RS17710	3546444	3549149	DNA-binding transcriptional activator MalT
srlD	BW25113_RS14080	2821096	2821875	sorbitol-6-phosphate 2-dehydrogenase
ybhC	BW25113_RS04010	801454	802737	outer membrane lipoprotein YbhC
btuC	BW25113_RS08955	1788429	1789409	vitamin B<sub>12</sub> ABC transporter membrane subunit
dsbA	BW25113_RS20025	4036778	4037404	thiol:disulfide oxidoreductase DsbA
murB	BW25113_RS20610	4161985	4163013	UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase
rpoS	BW25113_RS14265	2859918	2860910	RNA polymerase sigma factor RpoS
sfmA	BW25113_RS02720	553668	554210	putative fimbrial protein SfmA
sra	BW25113_RS07760	1550083	1550220	ribosome-associated protein Sra
coaD	BW25113_RS18870	3803185	3803664	pantetheine-phosphate adenylyltransferase
fadM	BW25113_RS02295	459858	460256	long-chain acyl-CoA thioesterase FadM
uxuR	BW25113_RS22505	4544393	4545166	DNA-binding transcriptional repressor UxuR
ynbA	BW25113_RS07385	1471878	1472483	CDP-alcohol phosphatidyltransferase domain-containing protein YnbA
yfbM	BW25113_RS11870	2380413	2380916	DUF1877 domain-containing protein YfbM
RS19725	BW25113_RS19725	3975966	3976052	tRNA-Leu
ompN	BW25113_RS07225	1430017	1431150	outer membrane porin N
RS24200	BW25113_RS24200	2776150	2776269	hypothetical protein
brnQ	BW25113_RS02075	415047	416366	branched chain amino acid transporter BrnQ
